"Figure 4. Marine Heat Wave Intensity and Duration at Five Marine Protected Areas, 1982-2023",,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
"Data source: NOAA, 2024",,,,,,
Web update: June 2024,,,,,,
"Units: duration (days), intensity (degrees F), severity",,,,,,
,,,,,,
event_no,duration,date_start,date_end,intensity_mean,severity,marine_protected_area
85,48,9/24/2017,11/10/2017,4.4644,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
86,7,2/27/2018,3/5/2018,2.1003,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
87,6,5/29/2018,6/3/2018,4.529,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
88,5,6/8/2018,6/12/2018,4.1973,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
89,7,6/17/2018,6/23/2018,3.8976,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
90,108,6/30/2018,10/15/2018,4.5119,III Severe,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
91,36,7/2/2019,8/6/2019,5.0122,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
92,7,8/18/2019,8/24/2019,3.6212,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
93,9,8/29/2019,9/6/2019,3.3319,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
94,13,9/21/2019,10/3/2019,4.6193,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
95,16,10/24/2019,11/8/2019,2.825,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
96,89,1/12/2020,4/9/2020,2.8607,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
97,75,6/17/2020,8/30/2020,4.7911,III Severe,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
98,17,9/3/2020,9/19/2020,4.0374,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
99,15,9/25/2020,10/9/2020,3.4253,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
100,50,10/19/2020,12/7/2020,2.9085,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
101,6,3/10/2021,3/15/2021,2.0475,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
102,24,3/24/2021,4/16/2021,2.6615,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
103,16,5/13/2021,5/28/2021,5.0602,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
104,17,6/6/2021,6/22/2021,5.1471,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
105,5,6/28/2021,7/2/2021,4.493,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
106,15,7/15/2021,7/29/2021,3.8342,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
107,26,8/7/2021,9/1/2021,4.996,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
108,203,9/8/2021,3/29/2022,3.6733,III Severe,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
109,10,6/9/2022,6/18/2022,4.4547,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
110,13,6/26/2022,7/8/2022,3.9334,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
111,6,8/4/2022,8/9/2022,3.2932,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
112,32,8/22/2022,9/22/2022,4.3326,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
113,61,10/20/2022,12/19/2022,3.7435,III Severe,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
114,19,1/13/2023,1/31/2023,2.5799,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
115,85,2/6/2023,5/1/2023,2.9866,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
116,11,5/7/2023,5/17/2023,4.3666,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
117,8,5/27/2023,6/3/2023,4.005,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
118,40,6/21/2023,7/30/2023,4.6601,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
119,22,9/4/2023,9/25/2023,5.0763,III Severe,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
120,44,9/29/2023,11/11/2023,3.6121,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
121,11,11/15/2023,11/25/2023,2.078,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
1,9,2/9/1982,2/17/1982,2.5565,I Moderate,Florida Keys National Marine Sanctuary
2,12,3/18/1982,3/29/1982,3.5664,II Strong,Florida Keys National Marine Sanctuary
3,14,4/17/1982,4/30/1982,2.9489,I Moderate,Florida Keys National Marine Sanctuary
4,18,11/17/1986,12/4/1986,2.3793,II Strong,Florida Keys National Marine Sanctuary
5,6,12/12/1986,12/17/1986,1.9194,I Moderate,Florida Keys National Marine Sanctuary
6,6,1/17/1987,1/22/1987,2.2186,I Moderate,Florida Keys National Marine Sanctuary
7,6,2/1/1990,2/6/1990,2.1748,I Moderate,Florida Keys National Marine Sanctuary
8,5,1/14/1991,1/18/1991,2.1794,I Moderate,Florida Keys National Marine Sanctuary
9,12,1/28/1991,2/8/1991,3.0313,I Moderate,Florida Keys National Marine Sanctuary
10,6,8/19/1991,8/24/1991,2.3001,I Moderate,Florida Keys National Marine Sanctuary
11,16,1/4/1993,1/19/1993,3.0449,II Strong,Florida Keys National Marine Sanctuary
12,11,7/22/1993,8/1/1993,2.0261,I Moderate,Florida Keys National Marine Sanctuary
13,7,2/23/1994,3/1/1994,2.8911,I Moderate,Florida Keys National Marine Sanctuary
14,7,3/22/1994,3/28/1994,2.4275,I Moderate,Florida Keys National Marine Sanctuary
15,15,5/6/1994,5/20/1994,2.2965,I Moderate,Florida Keys National Marine Sanctuary
16,21,11/29/1994,12/19/1994,2.381,II Strong,Florida Keys National Marine Sanctuary
17,18,5/11/1995,5/28/1995,2.5287,II Strong,Florida Keys National Marine Sanctuary
18,6,1/1/1997,1/6/1997,2.1609,I Moderate,Florida Keys National Marine Sanctuary
19,15,2/20/1997,3/6/1997,2.9464,I Moderate,Florida Keys National Marine Sanctuary
20,6,3/27/1997,4/1/1997,2.5905,I Moderate,Florida Keys National Marine Sanctuary
21,8,7/14/1997,7/21/1997,1.611,I Moderate,Florida Keys National Marine Sanctuary
22,28,7/30/1997,8/26/1997,1.951,I Moderate,Florida Keys National Marine Sanctuary
23,17,6/4/1998,6/20/1998,2.1637,II Strong,Florida Keys National Marine Sanctuary
24,12,7/1/1998,7/12/1998,2.6203,II Strong,Florida Keys National Marine Sanctuary
25,6,7/31/1998,8/5/1998,1.6028,I Moderate,Florida Keys National Marine Sanctuary
26,6,8/10/1998,8/15/1998,1.7734,I Moderate,Florida Keys National Marine Sanctuary
27,20,8/23/1998,9/11/1998,1.7255,I Moderate,Florida Keys National Marine Sanctuary
28,10,2/4/1999,2/13/1999,2.5067,I Moderate,Florida Keys National Marine Sanctuary
29,7,4/12/1999,4/18/1999,2.3738,I Moderate,Florida Keys National Marine Sanctuary
30,7,5/11/1999,5/17/1999,2.328,I Moderate,Florida Keys National Marine Sanctuary
31,9,7/28/1999,8/5/1999,2.1891,I Moderate,Florida Keys National Marine Sanctuary
32,5,8/12/1999,8/16/1999,1.8463,I Moderate,Florida Keys National Marine Sanctuary
33,13,9/1/1999,9/13/1999,2.239,II Strong,Florida Keys National Marine Sanctuary
34,9,7/18/2000,7/26/2000,1.8281,I Moderate,Florida Keys National Marine Sanctuary
35,7,10/4/2000,10/10/2000,2.0279,I Moderate,Florida Keys National Marine Sanctuary
36,5,6/13/2001,6/17/2001,1.5625,I Moderate,Florida Keys National Marine Sanctuary
37,6,2/2/2002,2/7/2002,2.3008,I Moderate,Florida Keys National Marine Sanctuary
38,7,3/21/2002,3/27/2002,2.6903,I Moderate,Florida Keys National Marine Sanctuary
39,7,3/31/2002,4/6/2002,3.3619,II Strong,Florida Keys National Marine Sanctuary
40,18,4/21/2002,5/8/2002,2.6249,I Moderate,Florida Keys National Marine Sanctuary
41,20,10/28/2002,11/16/2002,2.202,I Moderate,Florida Keys National Marine Sanctuary
42,25,3/2/2003,3/26/2003,3.4977,II Strong,Florida Keys National Marine Sanctuary
43,9,5/12/2003,5/20/2003,2.1283,I Moderate,Florida Keys National Marine Sanctuary
44,8,6/3/2003,6/10/2003,1.8467,I Moderate,Florida Keys National Marine Sanctuary
45,15,10/1/2003,10/15/2003,1.9536,I Moderate,Florida Keys National Marine Sanctuary
46,9,12/4/2004,12/12/2004,1.6912,I Moderate,Florida Keys National Marine Sanctuary
47,16,9/16/2006,10/1/2006,2.3027,II Strong,Florida Keys National Marine Sanctuary
48,5,10/21/2006,10/25/2006,1.8021,I Moderate,Florida Keys National Marine Sanctuary
